angle_deg,cur_A
4.4e-05,4.835999999999999e-07
0.078922,2.8972999999999998e-06
0.157846,7.3898e-06
0.236756,1.27414e-05
0.315766,1.82676e-05
0.394693,2.38325e-05
0.473677,2.7847300000000004e-05
0.552617,3.37325e-05
0.631622,3.9451000000000006e-05
0.710492,4.49733e-05
0.789436,4.92808e-05
0.868366,5.2546599999999996e-05
0.947358,5.28151e-05
1.026294,4.7311e-05
1.105257,3.7908200000000004e-05
1.184148,2.6285e-05
1.263122,1.53614e-05
1.342043,6.3192e-06
1.421026,4.0060000000000003e-07
1.499991,1.4120000000000002e-07
